id,numSentMsg,numUniqueRec,meanMinutesSinceLastMsg,numActiveInInterval,numVisitedLocations,numTraversedBetweenLocations,numVisitedDays
439105,207,58,2.203369144350638,45,5,18,1
1836139,26,5,25.669286131858826,15,4,11,1
1464748,140,45,21.00014377820727,42,5,12,1
580064,151,47,0.03619923267653582,36,5,13,1
1053224,135,48,3.250266455113888,36,5,19,1
1593258,16,4,66.52630615234375,9,3,2,1
612957,77,4,4.093132435902069,70,5,15,3
494296,107,53,18.21617698684319,47,5,27,1
1413244,24,4,22.434606075286865,16,5,13,1
903769,68,8,19.83841340348347,20,4,8,3
1106999,28,3,8.981079518795013,24,4,11,3
880166,15,3,14.157470703125,11,3,7,1
1509021,139,42,19.75332729816364,57,5,19,1
1426952,103,7,5.25812088662353,66,5,22,3
160360,19,3,94.37147521972656,16,5,9,3
119477,132,37,18.451128216620802,68,5,17,3
73832,303,176,3.2500003507045676,52,5,28,2
376187,698,206,2.2455424193668446e-9,66,5,21,3
1996962,665,166,4.250000000669388,59,5,18,3
821837,693,152,0.4375000004656613,51,5,25,3
275317,668,89,12.625015258789277,51,5,25,1
2010176,88,7,21.722220024194883,67,5,23,1
1848529,564,86,8.787109375003254,61,5,24,3
1138286,280,143,3.3808597028298597,42,5,26,3
897257,558,120,6.750043869018568,58,5,32,1
1086555,866,103,2.910383045673378e-9,93,5,29,1
1612579,822,183,11.625,91,5,31,1
1813262,582,96,5.000000002229029,48,5,25,1
15712,13,3,18.26513671875,13,4,5,3
314497,28,3,13.712107494473457,26,5,16,2
1843348,22,3,27.823869705200195,20,5,12,3
839736,5914,2526,3.60377339339301,182,1,0,3
1323905,15,3,65.1817626953125,14,5,11,3
2085655,283,151,9.220214872577344,61,5,25,2
674952,76,4,11.279095347038147,71,5,20,3
1030195,525,133,0.00006675720235804761,56,5,28,1
1418361,55,4,33.01877566259625,52,5,20,1
881043,20,3,36.29240798950195,19,4,9,3
968967,1010,105,11.0000000000001,58,5,21,3
1178625,315,45,0.50000000000653,30,5,13,3
1633558,955,133,11.437500013969839,73,5,26,3
652484,482,45,3.2400748750661667e-12,27,5,11,1
1941845,18,3,40.03202819824219,17,4,7,2
1627198,659,183,4.250000476878995,65,4,24,2
1696753,564,229,0.002564236521866548,76,5,20,3
1437636,798,121,2.000000001775358,87,5,29,1
875692,442,45,0.637207031250006,24,5,14,1
1649471,74,8,15.150981701444742,60,5,23,3
1086857,28,5,15.886342585086823,22,5,11,1
1899557,637,145,4.18701171875,48,5,24,1
1616474,554,244,5.968322514260383e-7,61,4,17,2
1588412,651,138,24.90625,52,5,24,1
1480703,688,168,5.000000912696123,59,5,28,2
286210,985,120,0.0002548694610595703,48,5,21,3
4908,516,45,18.500000039115548,31,5,19,1
1192794,100,72,5.521186748730212e-21,10,4,7,1
291785,934,158,2.250000953694766,68,5,21,3
321318,1099,77,5.316450125304982,80,5,21,1
250943,879,247,6.500099182303533,78,5,35,1
821721,1142,173,3.169922284806944,89,5,32,3
19843,940,117,0.5000095367431641,57,5,16,1
1446246,940,144,3.2187509536743164,79,5,29,1
1255142,853,191,3.500000000009095,68,5,31,1
1129455,1058,162,2.281250000000013,84,5,36,1
884977,680,174,0.0001945495605468763,60,5,27,1
1446356,687,172,18.015625,69,5,33,2
1967769,885,130,7.0062255859375,51,5,22,3
864019,559,88,4.547473508864714e-13,44,5,21,1
1791156,820,166,0.10161590727512149,68,5,31,1
618704,832,115,9.500000002042157,63,5,23,3
289181,341,139,0.000002235176225464534,54,5,22,3
918738,1245,134,4.440892098500626e-16,55,4,25,3
1563653,341,110,16.09375122468954,57,5,27,3
1119534,92,6,5.335151466100439,69,5,22,3
1426301,805,211,4.531250476837158,57,5,27,1
776705,512,114,3.6250063095941023,57,5,24,1
467299,589,100,5.684341886081507e-13,51,5,19,1
769381,537,90,7.875000000000192,40,5,28,1
11269,16,2,28.19744873046875,14,4,9,3
873971,881,169,4.000027775764465,58,4,17,1
1838047,22,3,22.16944122314453,22,5,14,2
183761,12,3,45.39453125,12,5,8,3
1128580,826,110,9.5367431640625e-7,76,4,17,3
241855,1007,99,0.000028610229492199643,55,5,18,1
823913,533,87,3.4977035522460938,71,5,30,1
1607944,595,119,6.750015258789116,38,5,23,1
164603,641,122,7.000019073497242,48,5,24,1
767374,717,107,8.125038146972656,84,5,25,1
705064,33,4,8.394927510991693,15,4,8,3
1337278,834,123,6.110667785484864e-13,58,5,20,1
1319731,454,151,10.574218770060838,67,5,32,3
38398,667,93,10.75000000000003,37,5,21,1
970012,268,114,0.7119278907830449,55,5,22,2
1119337,624,82,6.2822265625,43,5,12,1
33434,1229,201,0.0001211538911718435,57,5,34,1
998420,628,55,4.768371582036671e-7,50,5,15,1
1182572,23,6,44.600914001464844,14,4,8,3
774775,528,231,3.2421875344589566,65,5,33,3
1075494,528,103,15.125000000713044,54,5,18,3
1770468,1211,127,5.717648576819572e-15,78,5,24,1
574210,747,94,28.125000000012733,57,5,29,1
932874,393,167,1.5000054836382335,52,5,19,1
422666,828,142,11.640903873369098,70,5,34,1
1312277,740,106,7.875,50,5,31,1
1276986,1000,138,9.777074982965135e-12,57,4,18,1
48628,1095,213,1.0000000001437002,102,5,32,1
476970,488,112,2.750133514404297,46,5,20,1
1342832,720,165,9.250000000247383,72,5,31,1
1707585,403,69,8.656252273765858,56,5,23,3
643918,403,182,0.5017256738137816,64,5,23,3
800081,728,152,1.5543704256800546e-14,47,5,19,1
