id,numSentMsg,numUniqueRec,meanMinutesSinceLastMsg,numActiveInInterval,numVisitedLocations,numTraversedBetweenLocations
1401601,69,4,20.30300300032692,62,5,20
1169163,66,7,23.417632731798427,19,5,13
133205,665,123,0.00004005433765996724,73,5,17
626177,180,8,5.36593417303039,64,5,22
994541,1046,113,1.0000000000891305,92,5,32
525323,534,122,0.0034866351634270654,65,5,24
970547,788,138,4.5000013186381125,74,5,30
1326471,702,109,0.7500038149300963,74,5,22
1368389,632,153,0.0031739957633902804,67,5,17
1330021,20,2,46.10478973388672,19,5,11
1561994,51,7,15.84073897934017,24,4,8
1865282,726,140,0.000016212463874953897,92,5,16
600636,81,7,0.9249237645113929,22,5,13
1101472,623,108,3.000003039837612,65,5,25
168587,562,103,16.50000038743069,76,5,21
837947,26,8,134.31367778778076,17,5,9
1451426,25,3,54.395681381225586,24,5,10
14557,853,139,1.4157512497820361e-15,58,5,24
230427,207,5,4.44982321459756,61,5,18
1563653,127,31,11.960944416167811,41,5,13
1205101,321,153,0.5449226945638662,66,5,18
461824,282,161,0.0006141669588863877,51,5,16
1529852,999,238,0.00001812013216809061,102,5,36
360857,800,139,0.28149414062500244,57,5,23
1419334,694,96,10.000000000021831,59,5,28
1154170,328,141,8.483398512006023,47,5,16
866988,284,138,0.06005996475005304,57,5,20
1613471,58,4,10.445755454071765,30,5,10
1180493,807,157,5.75,56,5,23
577530,98,5,2.3781592972926204,23,4,11
1388440,588,145,0.000021398069748102074,62,5,21
1156732,76,4,4.659561124029782,66,5,18
1643449,64,4,2.8083129112621026,53,5,13
839736,44674,5681,1.1974284818596088,185,1,0
1283332,701,104,4.503051758846084,67,5,24
1152794,651,115,3.5000000000000004,56,5,23
1513840,722,205,0.0006713904464278886,83,5,16
400344,893,112,7.875000000021961,61,5,24
1149129,1305,147,4.440892098500627e-16,92,5,24
1971204,1005,160,4.3314685172028455e-11,57,5,20
392782,562,98,3.0000000000000004,54,5,19
1434060,18,3,14.22894287109375,18,5,12
1203764,1024,118,8.00000004843558,51,5,24
1356429,627,67,2.1692447604733627e-18,24,5,8
440242,1,1,0,1,1,0
1250383,230,71,0.0009815097350617304,76,4,20
1298260,49,4,11.620887716340825,22,4,5
